title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
Otaku no Boku ga Ichigun Gal to Tsukiaeru Made no Hanashi,,ONA,1.0,,OTHER,SPRING,Hentai,Male Protagonist;Gyaru;Fellatio;Anal Sex;Femdom;Virginity;Large Breasts;Mating Press,58.0,2026-04-29,JP
Looney Tunes Gokko,,TV_SHORT,1.0,1.0,ORIGINAL,SPRING,Comedy,Primarily Animal Cast;Anthropomorphism;Slapstick;No Dialogue;Animals,,2026-04-30,JP
Kyonyuu ga Futari Inai to Bokki Shinai Otto no tame ni Tomodachi wo Tsuretekita Tsuma,,OVA,1.0,16.0,OTHER,SPRING,Hentai,Primarily Adult Cast;Threesome;Large Breasts;MILF;Fellatio;Nakadashi;Deepthroat;Facial;Boobjob,69.0,2026-04-30,JP
Transformers: Wild King W,,ONA,4.0,4.0,OTHER,SPRING,Action;Mecha;Sci-Fi,Shapeshifting;Super Robot;Full CGI,,2026-05-20,JP
Seishidouin no Oshigoto The Animation,,OVA,1.0,,OTHER,SPRING,Hentai,Nudity,52.0,2026-05-29,JP
Muchuu no Tou,,OVA,1.0,,OTHER,SPRING,Hentai,,,2026-05-29,JP
Paihame Kazoku,,OVA,1.0,16.0,OTHER,SPRING,Hentai,Large Breasts;Rape;Boobjob;Nakadashi;Ahegao;Mating Press;Asphyxiation;Otaku Culture;MILF;DILF,49.0,2026-05-29,JP
Heart Mark Oome.,,OVA,1.0,16.0,MANGA,SPRING,Hentai,Inseki;Gyaru;LGBTQ+ Themes;Bisexual;Incest,65.0,2026-05-29,JP
Nuki Nuki ♡ Zupposism,,OVA,1.0,20.0,MANGA,SPRING,Hentai,Interspecies;Large Breasts;Oyakodon;Nakadashi;Elf;Mating Press;Boobjob;Fellatio,51.0,2026-06-12,JP
Pie no Mi: Oshi no Mori e Youkoso!,,ONA,8.0,2.0,OTHER,SUMMER,Comedy,Primarily Animal Cast;Food;Advertisement,,2026-06-22,JP
"Heroine? Seijo? Iie, All Works Maid desu (Ko)!","Heroine? Saint? No, I’m an All-Works Maid (And Proud of It)!",ONA,12.0,24.0,LIGHT_NOVEL,SUMMER,Comedy;Fantasy,Maids;Female Protagonist;Magic;Ojou-sama;Isekai;Medieval;Cute Girls Doing Cute Things;Iyashikei;Slapstick;Shoujo,69.0,2026-06-24,JP
Kare no Shiranai Himitsu wo Irete. The Animation,,OVA,1.0,30.0,OTHER,SPRING,Hentai,Netorare;Fellatio;Boobjob;Nakadashi;Blackmail,,2026-06-26,JP
Furachi,,OVA,2.0,16.0,OTHER,SPRING,Hentai,Voyeur;Large Breasts;Sex Toys;Femdom;Fingering;Handjob;Masturbation;Nudity;Nakadashi;Public Sex,63.0,2026-06-26,JP
"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Bouken-roku",From Overshadowed to Overpowered: Second Reincarnation of a Talentless Sage,ONA,4.0,24.0,MANGA,SUMMER,Action;Adventure;Fantasy,Slavery;Estranged Family;School;Male Protagonist;Magic;Isekai;Elf;Demons;Dragons;Swordplay,65.0,2026-06-26,JP
Hamehara,,OVA,1.0,,ORIGINAL,SPRING,Hentai,,,2026-06-26,JP
Neko to Ryuu,The Cat and the Dragon,ONA,4.0,24.0,LIGHT_NOVEL,SUMMER,Adventure;Fantasy,Dragons;Animals;Found Family;Magic;Primarily Animal Cast;Medieval;Iyashikei;Anthropomorphism;Royal Affairs;Shapeshifting,75.0,2026-06-27,JP
World Is Dancing,The World Is Dancing,ONA,13.0,24.0,MANGA,SUMMER,Drama,Dancing;Historical;LGBTQ+ Themes;Boys' Love;Coming of Age;Acting;Musical Theater;Male Protagonist;Seinen;Biographical,73.0,2026-06-29,JP
Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,The Oblivious Saint Can't Contain Her Power,TV,3.0,24.0,LIGHT_NOVEL,SUMMER,Drama;Fantasy;Romance,Heterosexual;Shoujo;Female Protagonist;Arranged Marriage;Medieval;Magic;Royal Affairs,63.0,2026-06-30,JP
Chikyuu Daisuki! Kikkun,,TV_SHORT,52.0,2.0,ORIGINAL,SUMMER,Sci-Fi,,,2026-07-01,JP
Reiwa no Dara-san,Dara-san of the Reiwa Era,TV,13.0,24.0,MANGA,SUMMER,Comedy;Horror;Supernatural,Youkai;Crossdressing;Tomboy;Monster Girl;Gods;Curses;Nudity;Femboy;Shrine Maiden;Female Protagonist,61.0,2026-07-02,JP
BanG Dream! Yume∞Mita,BanG Dream! YUME∞MITA,TV,13.0,24.0,OTHER,SUMMER,Comedy;Drama;Music;Slice of Life,Primarily Female Cast;Female Protagonist;Primarily Teen Cast;Band;VTuber;Full CGI;Virtual World;Bullying;Blackmail;Yandere,72.0,2026-07-02,JP
LV999 no Murabito,The Villager of Level 999,ONA,12.0,24.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Comedy;Fantasy,Parody;Male Protagonist;Demons;Magic;Medieval;Dragons;Swordplay;Tomboy;Surreal Comedy,63.0,2026-07-02,JP
Hanazakari no Kimitachi e 2nd Season,Hana-Kimi Season 2,ONA,13.0,24.0,MANGA,SUMMER,Comedy;Drama;Romance;Slice of Life,Boarding School;Female Protagonist;Crossdressing;Heterosexual;Cohabitation;Male Harem;Primarily Male Cast;LGBTQ+ Themes;Athletics;Shoujo,67.0,2026-07-02,JP
Bungou Stray Dogs Wan! 2,Bungo Stray Dogs WAN! 2,TV_SHORT,12.0,12.0,MANGA,SUMMER,Comedy;Slice of Life;Supernatural,Chibi;Episodic;Primarily Adult Cast;Ensemble Cast,72.0,2026-07-02,JP
"Let's Roll, Cinnamoroll! 2","Let's Roll, Cinnamoroll! 2",ONA,1.0,4.0,ORIGINAL,SUMMER,Slice of Life,,,2026-07-02,JP
Juurin Oukoku: Elf Oukoku wa Kyodai Naedoko ni,,OVA,2.0,30.0,VISUAL_NOVEL,SUMMER,Fantasy;Hentai,Elf,,2026-07-03,JP
Ryoumin 0-Nin Start no Henkyou Ryoushu-sama,The Frontier Lord Begins with Zero Subjects,ONA,3.0,25.0,LIGHT_NOVEL,SUMMER,Action;Comedy;Drama;Fantasy;Romance;Slice of Life,Cohabitation;Kingdom Management;Found Family;Agriculture;Rural;Anthropomorphism;Male Protagonist;Wilderness;Family Life;Ensemble Cast,68.0,2026-07-03,JP
Otome Kaijuu Caramelise,KAIJU GIRL CARAMELISE,TV,3.0,24.0,MANGA,SUMMER,Comedy;Romance;Supernatural,Shapeshifting;Body Image;Female Protagonist;Kaiju;Monster Girl;Coming of Age;Heterosexual;Henshin;Urban;Super Power,75.0,2026-07-03,JP
Kore Kaite Shine,"Draw This, Then Die!",TV,12.0,23.0,MANGA,SUMMER,Comedy;Slice of Life,Female Protagonist;Writing;Drawing;Otaku Culture;Iyashikei;Coastal;Primarily Female Cast;Cute Girls Doing Cute Things;Teacher;Primarily Teen Cast,73.0,2026-07-03,JP
Koko wa Ore ni Makasete Saki ni Ike to Ittekara 10-nen ga Tattara Densetsu ni Natteita.,I Became a Legend After My 10 Year-Long Last Stand,ONA,12.0,23.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Fantasy,Age Regression;Swordplay;Demons;Male Protagonist;Nudity;Magic;Female Harem;Isekai;Kemonomimi;Vampire,66.0,2026-07-03,JP
Yani Neko,Chainsmoker Cat,TV,3.0,24.0,MANGA,SUMMER,Comedy;Slice of Life,Surreal Comedy;Drugs;Female Protagonist;Nekomimi;Kemonomimi;Primarily Female Cast;Urban;Episodic;Rehabilitation;Class Struggle,68.0,2026-07-03,JP
Tsuihou Sareta Tensei Juukishi wa Game Chishiki de Musou Suru,The Exiled Heavy Knight Knows How to Game the System,TV,26.0,24.0,MANGA,SUMMER,Action;Fantasy,Isekai;CGI;Male Protagonist;Class Struggle;Dungeon;Magic;Swordplay;Royal Affairs;Medieval;Estranged Family,67.0,2026-07-03,JP
Iwamoto-senpai no Suisen,Recommendations from Iwamoto-Senpai,TV,3.0,24.0,MANGA,SUMMER,Action;Supernatural,Super Power;Male Protagonist;Military;School;Seinen;Urban Fantasy;Historical;Swordplay;Primarily Male Cast,53.0,2026-07-04,JP
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II",Skeleton Knight in Another World Season 2,TV,12.0,24.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Comedy;Fantasy,Skeleton;Isekai;Medieval;Ninja;Elf;Primarily Adult Cast;Kemonomimi;Male Protagonist;Magic;Swordplay,69.0,2026-07-04,JP
Uchi no Otouto-domo ga Sumimasen,Please Excuse My Younger Brothers,TV,24.0,24.0,MANGA,SUMMER,Comedy;Romance;Slice of Life,Shoujo;Heterosexual;Family Life;Female Protagonist;Inseki;Male Harem,67.0,2026-07-04,JP
Tenmaku no Jaadugar,Jaadugar: A Witch in Mongolia,TV,4.0,23.0,MANGA,SUMMER,Drama,Indigenous Cultures;Politics;Female Protagonist;Educational;Revenge;Historical;War;Royal Affairs;Foreign;Slavery,81.0,2026-07-04,JP
BLACK TORCH,BLACK TORCH,TV,3.0,24.0,MANGA,SUMMER,Action;Adventure;Fantasy;Sci-Fi;Supernatural,Urban Fantasy;Youkai;Shounen;Male Protagonist;Ninja;Demons;Animals;Urban,72.0,2026-07-04,JP
Hell Mode: Yarikomi-zuki no Gamer wa Haisettei no Isekai de Musou Suru 2nd Season,HELL MODE: The Hardcore Gamer Dominates in Another World with Garbage Balancing Season 2,TV,13.0,25.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Fantasy,Seinen;Primarily Child Cast;Isekai;Creature Taming;Male Protagonist,72.0,2026-07-04,JP
Pan no Akachan (TV),,TV_SHORT,3.0,2.0,ORIGINAL,SUMMER,Comedy,Stop Motion;Anthropomorphism;No Dialogue;Food;Restaurant;Iyashikei;Chibi,,2026-07-04,JP
Mushoku Tensei III: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 3,TV,14.0,24.0,LIGHT_NOVEL,SUMMER,Adventure;Drama;Ecchi;Fantasy,Male Protagonist;Isekai;Polyamorous;Family Life;Swordplay;Coming of Age;Heterosexual;Medieval;Female Harem;Magic,86.0,2026-07-04,JP
Snack HAZAMA,Snack Hazama,TV_SHORT,12.0,12.0,MANGA,SUMMER,Comedy;Ecchi;Supernatural,Bar;Chibi;Meta,51.0,2026-07-04,JP
Ushiro no Shoumen Kamui-san,KAMUI ---He's behind you,TV_SHORT,12.0,12.0,MANGA,SUMMER,Comedy;Ecchi;Supernatural,Nudity;Male Protagonist;Ghost;Exorcism;Public Sex;Female Protagonist;School;Ahegao;Squirting;Gyaru,56.0,2026-07-04,JP
