title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin,complete_duration
Higurashi no Naku Koro ni Kai,When They Cry Kai,TV,24.0,24.0,VISUAL_NOVEL,SUMMER,Horror;Mystery;Psychological;Supernatural;Thriller,Denpa;Time Loop;Conspiracy;Ensemble Cast;Rural;Torture;Female Protagonist;Gods;Twins;Urban Fantasy,80.0,2007-07-06,JP,576.0
Genshiken 2,,TV,12.0,24.0,MANGA,FALL,Comedy;Slice of Life,Otaku Culture;School Club;Parody;Ensemble Cast;Cosplay;Meta;Primarily Adult Cast;Seinen;Heterosexual;Male Protagonist,76.0,2007-10-10,JP,288.0
Mnemosyne: Mnemosyne no Musume-tachi,RIN ~Daughters of Mnemosyne~,TV,6.0,45.0,ORIGINAL,WINTER,Action;Ecchi;Horror;Sci-Fi;Supernatural,Female Protagonist;Primarily Adult Cast;Cosmic Horror;Body Horror;Memory Manipulation;Urban;Guns;Rape;Urban Fantasy;Amnesia,67.0,2008-02-04,JP,270.0
Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,TV,25.0,24.0,ORIGINAL,SPRING,Action;Drama;Mecha;Sci-Fi;Thriller,Anti-Hero;War;Military;Revenge;Politics;Philosophy;Class Struggle;Super Power;Female Protagonist;Dystopian,87.0,2008-04-06,JP,600.0
Jigoku Shoujo: Mitsuganae,Hell Girl: Three Vessels,TV,26.0,24.0,ORIGINAL,FALL,Horror;Mystery;Psychological;Supernatural,Female Protagonist;Bullying;Revenge;Curses;Episodic;Oiran;Kuudere;School;Idol;Gore,72.0,2008-10-04,JP,624.0
Suzumiya Haruhi no Yuuutsu (2009),The Melancholy of Haruhi Suzumiya (2009),TV,28.0,24.0,LIGHT_NOVEL,SPRING,Comedy;Mystery;Sci-Fi;Slice of Life;Supernatural,Primarily Teen Cast;Urban Fantasy;Female Protagonist;School;School Club;Aliens;Gods;Male Protagonist;Parody;Philosophy,71.0,2009-04-03,JP,672.0
K-ON!,K-ON!,TV,13.0,24.0,MANGA,SPRING,Comedy;Music;Slice of Life,Cute Girls Doing Cute Things;School Club;Band;Primarily Female Cast;Female Protagonist;School;Primarily Teen Cast;Rock Music;Episodic;Iyashikei,78.0,2009-04-03,JP,312.0
Phantom: Requiem for the Phantom,Phantom: Requiem for the Phantom,TV,26.0,24.0,VISUAL_NOVEL,SPRING,Action;Drama;Thriller,Amnesia;Anti-Hero;Assassins;Noir;Mafia;Coming of Age;Crime;Guns;Memory Manipulation;Heterosexual,75.0,2009-04-03,JP,624.0
Metal Fight Beyblade,Beyblade: Metal Fusion,TV,51.0,25.0,MANGA,SPRING,Adventure;Comedy;Sports,Male Protagonist;Kids;Proxy Battle;Battle Royale;CGI,68.0,2009-04-05,JP,1275.0
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64.0,25.0,MANGA,SPRING,Action;Adventure;Drama;Fantasy,Alchemy;Conspiracy;Military;War;Shounen;Politics;Male Protagonist;Philosophy;Ensemble Cast;Coming of Age,90.0,2009-04-05,JP,1600.0
Bakemonogatari,Bakemonogatari,TV,15.0,24.0,LIGHT_NOVEL,SUMMER,Comedy;Drama;Mystery;Psychological;Romance;Supernatural,Youkai;Ensemble Cast;Urban Fantasy;Male Protagonist;Surreal Comedy;Kuudere;Philosophy;Coming of Age;Vampire;Ghost,82.0,2009-07-03,JP,360.0
Tokyo Magnitude 8.0,Tokyo Magnitude 8.0,TV,11.0,22.0,ORIGINAL,SUMMER,Drama,Urban;Survival;Primarily Child Cast;Natural Disaster;Female Protagonist;Family Life;Post-Apocalyptic;Ghost;Rescue;Coming of Age,77.0,2009-07-10,JP,242.0
DARKER THAN BLACK: Ryuusei no Gemini,Darker than Black: Gemini of the Meteor,TV,12.0,24.0,ORIGINAL,FALL,Action;Mystery;Psychological;Sci-Fi;Supernatural,Female Protagonist;Super Power;Fugitive;Rural;Police;Anti-Hero;Assassins;Foreign;Memory Manipulation;Twins,71.0,2009-10-09,JP,288.0
Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,MOVIE,1.0,162.0,LIGHT_NOVEL,WINTER,Drama;Mystery;Sci-Fi;Supernatural,Primarily Teen Cast;Memory Manipulation;Philosophy;Kuudere;Male Protagonist;Coming of Age;Urban Fantasy;Snowscape;School;Aliens,86.0,2010-02-06,JP,162.0
Angel Beats!,Angel Beats!,TV,13.0,24.0,ORIGINAL,SPRING,Action;Comedy;Drama;Supernatural,School;Amnesia;Primarily Teen Cast;Kuudere;Coming of Age;Memory Manipulation;Isekai;Boarding School;Male Protagonist;Ensemble Cast,77.0,2010-04-03,JP,312.0
K-ON!!,K-ON! Season 2,TV,26.0,24.0,MANGA,SPRING,Comedy;Music;Slice of Life,Cute Girls Doing Cute Things;School Club;Primarily Female Cast;Female Protagonist;Band;Coming of Age;Ensemble Cast;Primarily Teen Cast;School;Episodic,82.0,2010-04-07,JP,624.0
Gakuen Mokushiroku: HIGHSCHOOL OF THE DEAD,High School of the Dead,TV,12.0,24.0,MANGA,SUMMER,Action;Drama;Ecchi;Horror;Romance;Supernatural,Zombie;Survival;Pandemic;Gore;Male Protagonist;Large Breasts;Conspiracy;Ensemble Cast;Body Horror;Nudity,66.0,2010-07-05,JP,288.0
Shiki,Shiki,TV,22.0,23.0,OTHER,SUMMER,Horror;Mystery;Supernatural;Thriller,Vampire;Survival;Rural;Anti-Hero;Ensemble Cast;Philosophy;Denpa;Zombie;Gore;Urban Fantasy,75.0,2010-07-09,JP,506.0
Bakuman.,Bakuman.,TV,25.0,24.0,MANGA,FALL,Comedy;Drama;Romance;Slice of Life,Work;Writing;Drawing;Coming of Age;Ensemble Cast;Male Protagonist;Heterosexual;Meta;Shounen;School,79.0,2010-10-02,JP,600.0
Mahou Shoujo Madoka☆Magica,Puella Magi Madoka Magica,TV,12.0,24.0,ORIGINAL,WINTER,Action;Drama;Fantasy;Mahou Shoujo;Psychological;Thriller,Magic;Female Protagonist;Witch;Primarily Female Cast;Cosmic Horror;Urban Fantasy;Philosophy;Time Loop;Primarily Teen Cast;Henshin,83.0,2011-01-07,JP,288.0
Nichijou,Nichijou - My Ordinary Life,TV,26.0,23.0,MANGA,SPRING,Comedy;Slice of Life,Surreal Comedy;Episodic;Slapstick;School;Female Protagonist;Ensemble Cast;Primarily Female Cast;Primarily Teen Cast;Parody;Achronological Order,83.0,2011-04-03,JP,598.0
Steins;Gate,Steins;Gate,TV,24.0,24.0,VISUAL_NOVEL,SPRING,Drama;Psychological;Sci-Fi;Thriller,Time Loop;Conspiracy;Memory Manipulation;Male Protagonist;Urban;Dystopian;Primarily Adult Cast;Denpa;Philosophy;Dissociative Identities,89.0,2011-04-06,JP,576.0
A-Channel,A-Channel,TV,12.0,24.0,MANGA,SPRING,Comedy;Slice of Life,Cute Girls Doing Cute Things;Primarily Female Cast;Episodic;Female Protagonist;Primarily Teen Cast;School;Chibi;Seinen;Kuudere,66.0,2011-04-08,JP,288.0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,TV,11.0,22.0,ORIGINAL,SPRING,Drama;Romance;Slice of Life;Supernatural,Coming of Age;Ghost;Rehabilitation;Hikikomori;Love Triangle;Male Protagonist;Found Family;Rural;Primarily Teen Cast;Heterosexual,80.0,2011-04-15,JP,242.0
Deadman Wonderland,Deadman Wonderland,TV,12.0,24.0,MANGA,SPRING,Action;Drama;Sci-Fi;Supernatural,Prison;Survival;Super Power;Gore;Death Game;Anti-Hero;Body Horror;Shounen;Male Protagonist;Dissociative Identities,67.0,2011-04-17,JP,288.0
Ao no Exorcist,Blue Exorcist,TV,25.0,24.0,MANGA,SPRING,Action;Fantasy;Supernatural,Demons;Shounen;Super Power;Youkai;Male Protagonist;Twins;Exorcism;Religion;Urban Fantasy;Primarily Teen Cast,72.0,2011-04-17,JP,600.0
Kamisama no Memochou,Heaven's Memo Pad,TV,12.0,24.0,LIGHT_NOVEL,SUMMER,Mystery,Hikikomori;Crime;Detective;Philosophy;Yakuza;Male Protagonist;Episodic;Gangs;Drugs;Noir,71.0,2011-07-02,JP,288.0
Yuru Yuri,YuruYuri,TV,12.0,23.0,MANGA,SUMMER,Comedy;Slice of Life,Cute Girls Doing Cute Things;Primarily Female Cast;School Club;Surreal Comedy;Meta;Yuri;Love Triangle;School;Slapstick;Episodic,74.0,2011-07-05,JP,276.0
Hotarubi no Mori e,Into the Forest of Fireflies' Light,MOVIE,1.0,45.0,MANGA,SUMMER,Drama;Fantasy;Romance;Supernatural,Coming of Age;Youkai;Ghost;Rural;Urban Fantasy;Male Protagonist;Shoujo;Female Protagonist;Heterosexual;Iyashikei,79.0,2011-09-17,JP,45.0
Mirai Nikki,The Future Diary,TV,26.0,23.0,MANGA,FALL,Action;Horror;Mystery;Psychological;Supernatural;Thriller,Battle Royale;Death Game;Survival;Yandere;Psychosexual;Slapstick;Body Horror;Gore;Gods;Male Protagonist,68.0,2011-10-09,JP,598.0
UN-GO,UN-GO,TV,11.0,24.0,OTHER,FALL,Drama;Mystery;Psychological;Sci-Fi;Supernatural,Detective;Dystopian;Urban;Monster Boy;Work;Urban Fantasy;Guns;Shapeshifting;Police;Military,70.0,2011-10-14,JP,264.0
